"name","count"
"really",666
"professor",657
"one",582
"will",572
"students",564
"take",494
"course",468
"get",461
"just",459
"time",453
"good",444
"lectures",432
"can",417
"like",409
"also",368
"material",360
"much",360
"even",328
"interesting",311
"great",301
"well",298
"first",291
"questions",283
"know",281
"lot",277
"work",275
"make",274
"think",273
"semester",268
"final",258
"lecture",247
"reading",247
"always",242
"way",242
"people",228
"prof",227
"classes",222
"learn",222
"every",217
"pretty",217
