"name","count"
"really",891
"professor",793
"one",696
"students",689
"will",665
"get",588
"take",568
"time",556
"good",535
"just",531
"course",523
"like",516
"can",506
"also",480
"material",479
"lectures",469
"much",442
"great",407
"even",403
"well",399
"lot",374
"semester",369
"reading",368
"interesting",357
"make",349
"think",331
"final",327
"know",325
"first",323
"way",314
"questions",311
"lecture",308
"work",295
"easy",294
"pretty",290
"grade",288
"teacher",282
"always",280
"classes",276
"people",276
