"name","count"
"section",128
"kind",127
"part",126
"textbook",123
"learning",122
"art",121
"least",120
"half",119
"around",117
"study",116
"able",115
"answer",115
"music",114
"question",114
"language",113
"grades",112
"ask",111
"math",110
"usually",110
"might",109
"without",109
"concepts",108
"see",106
"comments",105
"english",105
"gives",105
"anyone",104
"funny",104
"seemed",104
"another",102
"last",102
"talk",102
"different",101
"discussions",101
"especially",101
"grader",101
"went",100
"felt",99
"amazing",98
"topics",98
