"name","count"
"math",37
"quizzes",35
"section",35
"answer",34
"without",33
"fact",32
"love",32
"question",32
"thing",32
"kind",31
"least",30
"tell",29
"textbook",29
"completely",28
"minutes",28
"seemed",28
"amazing",27
"basically",27
"given",27
"grades",27
"sets",27
"talk",27
"either",26
"funny",26
"half",26
"prepared",26
"talking",26
"topics",26
"another",25
"concepts",25
"keep",25
"literature",25
"look",25
"man",25
"spent",25
"trying",25
"usually",25
"different",24
"felt",24
"information",24
