"name","count"
"nothing",57
"least",56
"discussions",53
"funny",53
"without",53
"comments",52
"man",51
"music",51
"answer",50
"concepts",50
"seem",50
"tell",49
"willing",49
"see",48
"incredibly",47
"taught",47
"completely",46
"engaging",46
"stuff",46
"topic",46
"almost",45
"knowledge",45
"last",45
"thing",45
"year",45
"able",44
"essays",44
"looking",44
"rather",44
"style",43
"ask",42
"lecturer",42
"might",42
"teaches",42
"around",41
"especially",41
"expect",41
"fact",41
"possible",41
"second",41
