"name","count"
"class",51742
"really",13002
"professor",12601
"will",10983
"students",10676
"one",10478
"take",9438
"course",9267
"just",8856
"can",8436
"get",8423
"time",8396
"like",8115
"good",7913
"also",7638
"lectures",7398
"material",7001
"much",6990
"great",6399
"even",6339
"well",6172
"lot",5947
"interesting",5894
"first",5537
"know",5340
"questions",5247
"semester",5108
"make",5103
"think",5017
"people",4976
"work",4887
"reading",4705
"way",4662
"lecture",4594
"always",4433
"final",4320
"classes",4257
"every",4214
"teacher",4211
"easy",4114
