"name","count"
"final",14953
"midterm",9567
"class",7015
"one",6095
"papers",5518
"reading",5318
"paper",5080
"two",4079
"weekly",3706
"week",3220
"easy",3038
"page",2893
"problem",2840
"readings",2645
"midterms",2462
"pages",2407
"short",2385
"every",2371
"sets",2294
"essays",2114
"homework",2102
"quizzes",2070
"assignments",2020
"can",1981
"exams",1923
"grade",1910
"will",1893
"semester",1839
"get",1836
"work",1836
"take",1820
"really",1768
"questions",1638
"three",1582
"time",1553
"essay",1520
"exam",1473
"lot",1450
"hard",1446
"graded",1420
