"name","count"
"professor",313
"really",307
"will",287
"take",284
"students",281
"one",269
"time",238
"can",234
"course",234
"get",229
"also",225
"good",216
"like",211
"just",210
"lectures",209
"much",205
"well",183
"even",178
"great",168
"material",168
"first",160
"lot",160
"know",153
"interesting",150
"work",141
"way",137
"make",134
"questions",132
"semester",132
"lecture",131
"think",129
"people",124
"easy",122
"say",121
"always",116
"grade",114
"teaching",114
"reading",113
"though",113
"pretty",112
